cntry,rw_order,paed_age_cutoff,inc_time_tmc
BEN,0,Inf,TRUE
BEN,1,Inf,TRUE
BEN,2,Inf,TRUE
CMR,0,Inf,TRUE
CMR,1,Inf,TRUE
CMR,2,10,TRUE
CMR,2,Inf,TRUE
ETH,0,10,TRUE
ETH,0,Inf,TRUE
ETH,1,10,TRUE
ETH,1,Inf,TRUE
ETH,2,10,TRUE
ETH,2,Inf,TRUE
GAB,2,Inf,TRUE
GHA,0,10,TRUE
GHA,0,Inf,TRUE
GHA,1,10,TRUE
GHA,1,Inf,TRUE
GHA,2,10,TRUE
GHA,2,Inf,TRUE
MOZ,0,10,TRUE
MOZ,0,Inf,TRUE
MOZ,1,10,TRUE
MOZ,1,Inf,TRUE
MOZ,2,10,TRUE
MOZ,2,Inf,TRUE
NGA,2,10,TRUE
TZA,0,10,TRUE
TZA,0,Inf,TRUE
TZA,1,10,TRUE
TZA,1,Inf,TRUE
TZA,2,10,TRUE
TZA,2,Inf,TRUE
UGA,0,10,TRUE
UGA,0,Inf,TRUE
UGA,1,10,TRUE
UGA,1,Inf,TRUE
UGA,2,10,TRUE
UGA,2,Inf,TRUE
ZMB,0,Inf,TRUE
ZMB,1,Inf,TRUE
ZMB,2,Inf,TRUE
