cntry,rw_order,paed_age_cutoff,inc_time_tmc,logsigma_time_mmc,logsigma_agetime_mmc,logsigma_spacetime_mmc,ids
ETH,0,10,TRUE,-1.5,0,-3.5,20230829-150757-7e36ed9f
ETH,0,10,TRUE,-1.5,0,-2,20230829-150757-7e335227
ETH,0,10,TRUE,-1.5,0,-0.5,20230829-150757-7e338248
ETH,0,10,TRUE,-1.5,0,1,20230829-150837-f8966319
ETH,0,10,TRUE,-1.5,1.5,-3.5,20230829-150835-fe46e1bd
ETH,0,10,TRUE,-1.5,1.5,-2,20230829-150835-c86cab3f
ETH,0,10,TRUE,-1.5,1.5,-0.5,20230829-150915-a31ccc9a
ETH,0,10,TRUE,-1.5,1.5,1,20230829-150909-6c5e8c06
ETH,0,10,TRUE,-1.5,3,-3.5,20230829-150910-7056fe17
ETH,0,10,TRUE,-1.5,3,-2,20230829-151007-28f6bfaa
ETH,0,10,TRUE,-1.5,3,-0.5,20230829-150959-cba919d5
ETH,0,10,TRUE,-1.5,3,1,20230829-151000-3bdff999
ETH,0,10,TRUE,-1.5,4.5,-3.5,20230829-151058-fc03b6a8
ETH,0,10,TRUE,-1.5,4.5,-2,20230829-151056-0d5c679c
ETH,0,10,TRUE,-1.5,4.5,-0.5,20230829-151058-427f36b4
ETH,0,10,TRUE,-1.5,4.5,1,20230829-151208-9bece67e
ETH,0,10,TRUE,0,0,-3.5,20230829-151202-3a11e09f
ETH,0,10,TRUE,0,0,-2,20230829-151157-03fade2a
ETH,0,10,TRUE,0,0,-0.5,20230829-151312-bc22ceed
ETH,0,10,TRUE,0,0,1,20230829-151309-c77f8c2a
ETH,0,10,TRUE,0,1.5,-3.5,20230829-151255-7d73ae4c
ETH,0,10,TRUE,0,1.5,-2,20230829-151420-e4956456
ETH,0,10,TRUE,0,1.5,-0.5,20230829-151412-96fd2b54
ETH,0,10,TRUE,0,1.5,1,20230829-151358-c090b6a1
ETH,0,10,TRUE,0,3,-3.5,20230829-151526-a2fbc8c3
ETH,0,10,TRUE,0,3,-2,20230829-151525-8801f096
ETH,0,10,TRUE,0,3,-0.5,20230829-151508-69030d58
ETH,0,10,TRUE,0,3,1,20230829-151636-be699a92
ETH,0,10,TRUE,0,4.5,-3.5,20230829-151636-be699625
ETH,0,10,TRUE,0,4.5,-2,20230829-151611-a20b2e5e
ETH,0,10,TRUE,0,4.5,-0.5,20230829-151728-f0ed6bfb
ETH,0,10,TRUE,0,4.5,1,20230829-151736-16406693
ETH,0,10,TRUE,1.5,0,-3.5,20230829-151719-eee6c396
ETH,0,10,TRUE,1.5,0,-2,20230829-151829-fff3f5fe
ETH,0,10,TRUE,1.5,0,-0.5,20230829-151841-3c3369ae
ETH,0,10,TRUE,1.5,0,1,20230829-151811-354f333a
ETH,0,10,TRUE,1.5,1.5,-3.5,20230829-151927-c48bdb5e
ETH,0,10,TRUE,1.5,1.5,-2,20230829-151951-6af8f0e4
ETH,0,10,TRUE,1.5,1.5,-0.5,20230829-151924-38ec438e
ETH,0,10,TRUE,1.5,1.5,1,20230829-152024-5a254cb3
ETH,0,10,TRUE,1.5,3,-3.5,20230829-152111-a4dcd620
ETH,0,10,TRUE,1.5,3,-2,20230829-152013-e4d48291
ETH,0,10,TRUE,1.5,3,-0.5,20230829-152127-62782053
ETH,0,10,TRUE,1.5,3,1,20230829-152210-23891f45
ETH,0,10,TRUE,1.5,4.5,-3.5,20230829-152114-8d10ddc1
ETH,0,10,TRUE,1.5,4.5,-2,20230829-152230-692535bb
ETH,0,10,TRUE,1.5,4.5,-0.5,20230829-152312-77b25b69
ETH,0,10,TRUE,1.5,4.5,1,20230829-152216-565acf97
ETH,0,10,TRUE,3,0,-3.5,20230829-152333-bbb55efa
ETH,0,10,TRUE,3,0,-2,20230829-152410-7aa69425
ETH,0,10,TRUE,3,0,-0.5,20230829-152312-77c00dc8
ETH,0,10,TRUE,3,0,1,20230829-152434-40143714
ETH,0,10,TRUE,3,1.5,-3.5,20230829-152520-53c5724c
ETH,0,10,TRUE,3,1.5,-2,20230829-152411-fb2e35c3
ETH,0,10,TRUE,3,1.5,-0.5,20230829-152543-b760ab8e
ETH,0,10,TRUE,3,1.5,1,20230829-152632-0be09a45
ETH,0,10,TRUE,3,3,-3.5,20230829-152519-0fb09852
ETH,0,10,TRUE,3,3,-2,20230829-152655-fa27e0cc
ETH,0,10,TRUE,3,3,-0.5,20230829-152731-36b75010
ETH,0,10,TRUE,3,3,1,20230829-152632-0b9f12b4
ETH,0,10,TRUE,3,4.5,-3.5,20230829-152816-186a704c
ETH,0,10,TRUE,3,4.5,-2,20230829-152843-a4a9cec3
ETH,0,10,TRUE,3,4.5,-0.5,20230829-152731-36af1b90
ETH,0,10,TRUE,3,4.5,1,20230829-152932-a74d64a5
KEN,0,10,TRUE,-1.5,0,-3.5,20230819-091829-791ff2fb
KEN,0,10,TRUE,-1.5,0,-2,20230819-091829-79b4155e
KEN,0,10,TRUE,-1.5,0,-0.5,20230819-091829-798caabc
KEN,0,10,TRUE,-1.5,0,1,20230819-091931-4cfa72fc
KEN,0,10,TRUE,-1.5,1.5,-3.5,20230819-091939-2f8339d1
KEN,0,10,TRUE,-1.5,1.5,-2,20230819-091931-51f5b707
KEN,0,10,TRUE,-1.5,1.5,-0.5,20230819-092038-c29da6a5
KEN,0,10,TRUE,-1.5,1.5,1,20230819-092038-cafcae94
KEN,0,10,TRUE,-1.5,3,-3.5,20230819-092035-7b736d42
KEN,0,10,TRUE,-1.5,3,-2,20230819-092146-f20ee34e
KEN,0,10,TRUE,-1.5,3,-0.5,20230819-092139-db184375
KEN,0,10,TRUE,-1.5,3,1,20230819-092135-3162e1bd
KEN,0,10,TRUE,-1.5,4.5,-3.5,20230819-092302-392dd706
KEN,0,10,TRUE,-1.5,4.5,-2,20230819-092259-c9a4e5f7
KEN,0,10,TRUE,-1.5,4.5,-0.5,20230819-092259-ca79ed37
KEN,0,10,TRUE,-1.5,4.5,1,20230819-092403-5dd7f293
KEN,0,10,TRUE,0,0,-3.5,20230819-092401-a8a53de6
KEN,0,10,TRUE,0,0,-2,20230819-092403-63ce5913
KEN,0,10,TRUE,0,0,-0.5,20230819-092500-ad021113
KEN,0,10,TRUE,0,0,1,20230819-092501-5b1720b6
KEN,0,10,TRUE,0,1.5,-3.5,20230819-092500-adb75350
KEN,0,10,TRUE,0,1.5,-2,20230819-092603-acd25cdb
KEN,0,10,TRUE,0,1.5,-0.5,20230819-092603-f3bb4aa7
KEN,0,10,TRUE,0,1.5,1,20230819-092606-309a82d6
KEN,0,10,TRUE,0,3,-3.5,20230819-092704-56b9c97e
KEN,0,10,TRUE,0,3,-2,20230819-092700-d45b3e37
KEN,0,10,TRUE,0,3,-0.5,20230819-092702-eef3fcc0
KEN,0,10,TRUE,0,3,1,20230819-092738-d8ddf179
KEN,0,10,TRUE,0,4.5,-3.5,20230819-092731-f8dab369
KEN,0,10,TRUE,0,4.5,-2,20230819-092729-12a4324f
KEN,0,10,TRUE,0,4.5,-0.5,20230819-092809-773fec7d
KEN,0,10,TRUE,0,4.5,1,20230819-092802-8694c014
KEN,0,10,TRUE,1.5,0,-3.5,20230819-092754-15619d4f
KEN,0,10,TRUE,1.5,0,-2,20230819-092841-47202835
KEN,0,10,TRUE,1.5,0,-0.5,20230819-092835-a103740f
KEN,0,10,TRUE,1.5,0,1,20230819-092825-02a6fbcc
KEN,0,10,TRUE,1.5,1.5,-3.5,20230819-092914-4011b8da
KEN,0,10,TRUE,1.5,1.5,-2,20230819-092907-44090766
KEN,0,10,TRUE,1.5,1.5,-0.5,20230819-092859-1a5a1aa4
KEN,0,10,TRUE,1.5,1.5,1,20230819-092946-9d0a124e
KEN,0,10,TRUE,1.5,3,-3.5,20230819-092940-a066721a
KEN,0,10,TRUE,1.5,3,-2,20230819-092929-963d23f5
KEN,0,10,TRUE,1.5,3,-0.5,20230819-093019-e02b1824
KEN,0,10,TRUE,1.5,3,1,20230819-093010-2ff4f9ea
KEN,0,10,TRUE,1.5,4.5,-3.5,20230819-093001-7d047ca6
KEN,0,10,TRUE,1.5,4.5,-2,20230819-093054-bcc09632
KEN,0,10,TRUE,1.5,4.5,-0.5,20230819-093041-472510f7
KEN,0,10,TRUE,1.5,4.5,1,20230819-093030-8c0a33ee
KEN,0,10,TRUE,3,0,-3.5,20230819-093125-04d7936e
KEN,0,10,TRUE,3,0,-2,20230819-093115-70277829
KEN,0,10,TRUE,3,0,-0.5,20230819-093103-9c843252
KEN,0,10,TRUE,3,0,1,20230819-093155-4203b318
KEN,0,10,TRUE,3,1.5,-3.5,20230819-093144-39cee70b
KEN,0,10,TRUE,3,1.5,-2,20230819-093132-70e1e8a5
KEN,0,10,TRUE,3,1.5,-0.5,20230819-093222-21da5235
KEN,0,10,TRUE,3,1.5,1,20230819-093214-19d46e26
KEN,0,10,TRUE,3,3,-3.5,20230819-093203-f9822a7d
KEN,0,10,TRUE,3,3,-2,20230819-093249-8a3ed690
KEN,0,10,TRUE,3,3,-0.5,20230819-093247-fc92e2b2
KEN,0,10,TRUE,3,3,1,20230819-093232-11603e64
KEN,0,10,TRUE,3,4.5,-3.5,20230819-093325-2cea338a
KEN,0,10,TRUE,3,4.5,-2,20230819-093319-0f447d76
KEN,0,10,TRUE,3,4.5,-0.5,20230819-093308-e8430ddc
KEN,0,10,TRUE,3,4.5,1,20230819-093353-ef52f71d
LSO,0,10,TRUE,-1.5,0,-3.5,20230822-140712-cc1515aa
LSO,0,10,TRUE,-1.5,0,-2,20230822-142730-1d209ccf
LSO,0,10,TRUE,-1.5,0,-0.5,20230822-144637-27687c01
LSO,0,10,TRUE,-1.5,0,1,20230822-150454-4fe73ae5
LSO,0,10,TRUE,-1.5,1.5,-3.5,20230822-152445-da3c826b
LSO,0,10,TRUE,-1.5,1.5,-2,20230822-154402-64a313b0
LSO,0,10,TRUE,-1.5,1.5,-0.5,20230822-160231-40817b08
LSO,0,10,TRUE,-1.5,1.5,1,20230822-162406-da63f39f
LSO,0,10,TRUE,-1.5,3,-3.5,NA
LSO,0,10,TRUE,-1.5,3,-2,NA
LSO,0,10,TRUE,-1.5,3,-0.5,NA
LSO,0,10,TRUE,-1.5,3,1,20230822-165317-0ee2179c
LSO,0,10,TRUE,-1.5,4.5,-3.5,20230822-171450-507a0842
LSO,0,10,TRUE,-1.5,4.5,-2,20230822-173608-914e0290
LSO,0,10,TRUE,-1.5,4.5,-0.5,20230822-175603-1d04f787
LSO,0,10,TRUE,-1.5,4.5,1,20230822-181705-19cad114
LSO,0,10,TRUE,0,0,-3.5,20230822-184352-dc2929c5
LSO,0,10,TRUE,0,0,-2,20230915-141109-d9368b66
LSO,0,10,TRUE,0,0,-0.5,20230915-141134-fc21a6c7
LSO,0,10,TRUE,0,0,1,20230915-141007-bd725f10
LSO,0,10,TRUE,0,1.5,-3.5,20230822-190154-a7902f43
LSO,0,10,TRUE,0,1.5,-2,20230915-143155-7606a337
LSO,0,10,TRUE,0,1.5,-0.5,20230915-143241-00c18e68
LSO,0,10,TRUE,0,1.5,1,20230915-143004-ead6fd3b
LSO,0,10,TRUE,0,3,-3.5,20230822-192146-435c6561
LSO,0,10,TRUE,0,3,-2,20230915-145458-9cd156be
LSO,0,10,TRUE,0,3,-0.5,20230915-145356-b1baf17f
LSO,0,10,TRUE,0,3,1,20230915-145124-b046456e
LSO,0,10,TRUE,0,4.5,-3.5,NA
LSO,0,10,TRUE,0,4.5,-2,NA
LSO,0,10,TRUE,0,4.5,-0.5,NA
LSO,0,10,TRUE,0,4.5,1,20230822-195154-d513fef0
LSO,0,10,TRUE,1.5,0,-3.5,20230822-201155-21eddbc4
LSO,0,10,TRUE,1.5,0,-2,20230915-151851-fd50dffb
LSO,0,10,TRUE,1.5,0,-0.5,20230915-151809-9fc23049
LSO,0,10,TRUE,1.5,0,1,20230915-151408-2221b0cc
LSO,0,10,TRUE,1.5,1.5,-3.5,20230822-203111-49241e2b
LSO,0,10,TRUE,1.5,1.5,-2,20230915-153654-acb6f825
LSO,0,10,TRUE,1.5,1.5,-0.5,20230915-153848-6e2dcb20
LSO,0,10,TRUE,1.5,1.5,1,20230915-153245-eca20b79
LSO,0,10,TRUE,1.5,3,-3.5,20230822-205035-0be3113f
LSO,0,10,TRUE,1.5,3,-2,20230915-155504-d2b8c632
LSO,0,10,TRUE,1.5,3,-0.5,20230915-155648-42715bc2
LSO,0,10,TRUE,1.5,3,1,NA
LSO,0,10,TRUE,1.5,4.5,-3.5,20230822-211200-97be4fa0
LSO,0,10,TRUE,1.5,4.5,-2,20230822-213318-05d8eaf2
LSO,0,10,TRUE,1.5,4.5,-0.5,20230822-221828-43b28413
LSO,0,10,TRUE,1.5,4.5,1,20230822-224020-75136c2b
LSO,0,10,TRUE,3,0,-3.5,20230822-230003-7e7c4170
LSO,0,10,TRUE,3,0,-2,20230915-161753-8e76ef64
LSO,0,10,TRUE,3,0,-0.5,20230915-161907-53fd3051
LSO,0,10,TRUE,3,0,1,20230915-155517-747cfd8d
LSO,0,10,TRUE,3,1.5,-3.5,20230822-232050-f9f9c781
LSO,0,10,TRUE,3,1.5,-2,20230915-164122-4001ad1d
LSO,0,10,TRUE,3,1.5,-0.5,20230915-164135-595e58a0
LSO,0,10,TRUE,3,1.5,1,20230915-161512-91b36bb4
LSO,0,10,TRUE,3,3,-3.5,20230822-233945-c867b128
LSO,0,10,TRUE,3,3,-2,20230915-165946-08f7093f
LSO,0,10,TRUE,3,3,-0.5,20230915-170150-e79cbcec
LSO,0,10,TRUE,3,3,1,20230915-163506-649cb092
LSO,0,10,TRUE,3,4.5,-3.5,20230823-000220-fb99cf2b
LSO,0,10,TRUE,3,4.5,-2,20230823-002238-a4582e34
LSO,0,10,TRUE,3,4.5,-0.5,20230823-004234-db3439b7
LSO,0,10,TRUE,3,4.5,1,20230823-010516-d7b3af0e
MOZ,0,10,TRUE,-1.5,0,-3.5,20230904-201847-cf2b1253
MOZ,0,10,TRUE,-1.5,0,-2,20230904-201847-cfab37ed
MOZ,0,10,TRUE,-1.5,0,-0.5,20230904-201847-d32f4380
MOZ,0,10,TRUE,-1.5,0,1,20230904-202023-e8edce6f
MOZ,0,10,TRUE,-1.5,1.5,-3.5,20230904-202019-22b9a04b
MOZ,0,10,TRUE,-1.5,1.5,-2,20230904-202024-0a3f325c
MOZ,0,10,TRUE,-1.5,1.5,-0.5,20230904-202143-0f9ab2ec
MOZ,0,10,TRUE,-1.5,1.5,1,20230904-202139-d7e5c8da
MOZ,0,10,TRUE,-1.5,3,-3.5,20230904-202143-34944d54
MOZ,0,10,TRUE,-1.5,3,-2,20230904-202308-1b0f5915
MOZ,0,10,TRUE,-1.5,3,-0.5,20230904-202305-5229c441
MOZ,0,10,TRUE,-1.5,3,1,20230904-202305-522a45d7
MOZ,0,10,TRUE,-1.5,4.5,-3.5,20230904-202407-f5814b8f
MOZ,0,10,TRUE,-1.5,4.5,-2,20230904-202444-0d934f97
MOZ,0,10,TRUE,-1.5,4.5,-0.5,20230904-202444-0d9363a0
MOZ,0,10,TRUE,-1.5,4.5,1,20230904-202547-2f01aa64
MOZ,0,10,TRUE,0,0,-3.5,20230904-202605-0798709e
MOZ,0,10,TRUE,0,0,-2,20230904-202605-07c5696e
MOZ,0,10,TRUE,0,0,-0.5,20230904-202724-3f750ffa
MOZ,0,10,TRUE,0,0,1,20230904-202742-be58c330
MOZ,0,10,TRUE,0,1.5,-3.5,20230904-202742-bc670852
MOZ,0,10,TRUE,0,1.5,-2,20230904-202904-0d4d6d46
MOZ,0,10,TRUE,0,1.5,-0.5,20230904-202904-0d540ac7
MOZ,0,10,TRUE,0,1.5,1,20230904-202904-0d4c7b02
MOZ,0,10,TRUE,0,3,-3.5,20230904-203027-9ad75d77
MOZ,0,10,TRUE,0,3,-2,20230904-203031-5cc2612f
MOZ,0,10,TRUE,0,3,-0.5,20230904-203027-9ad5e2e8
MOZ,0,10,TRUE,0,3,1,20230904-203114-1a17cea7
MOZ,0,10,TRUE,0,4.5,-3.5,20230904-203117-a76b7125
MOZ,0,10,TRUE,0,4.5,-2,20230904-203111-6ea3d50c
MOZ,0,10,TRUE,0,4.5,-0.5,20230904-203150-61a4249b
MOZ,0,10,TRUE,0,4.5,1,20230904-203149-7977d8b3
MOZ,0,10,TRUE,1.5,0,-3.5,20230904-203137-248217bd
MOZ,0,10,TRUE,1.5,0,-2,20230904-203221-2b55bfda
MOZ,0,10,TRUE,1.5,0,-0.5,20230904-203220-b1f3605a
MOZ,0,10,TRUE,1.5,0,1,20230904-203208-81b3e75e
MOZ,0,10,TRUE,1.5,1.5,-3.5,20230904-203251-1a8030cc
MOZ,0,10,TRUE,1.5,1.5,-2,20230904-203249-2ea303c0
MOZ,0,10,TRUE,1.5,1.5,-0.5,20230904-203238-1c837258
MOZ,0,10,TRUE,1.5,1.5,1,20230904-203320-e280112f
MOZ,0,10,TRUE,1.5,3,-3.5,20230904-203326-31f489b3
MOZ,0,10,TRUE,1.5,3,-2,20230904-203311-66e0a7fa
MOZ,0,10,TRUE,1.5,3,-0.5,20230904-203355-d73846e6
MOZ,0,10,TRUE,1.5,3,1,20230904-203355-482ebf8f
MOZ,0,10,TRUE,1.5,4.5,-3.5,20230904-203340-14bbadc5
MOZ,0,10,TRUE,1.5,4.5,-2,20230904-203430-8ceb1d17
MOZ,0,10,TRUE,1.5,4.5,-0.5,20230904-203426-b7f04ec9
MOZ,0,10,TRUE,1.5,4.5,1,20230904-203408-4eaa63d4
MOZ,0,10,TRUE,3,0,-3.5,20230904-203504-44fccdcf
MOZ,0,10,TRUE,3,0,-2,20230904-203458-055d6194
MOZ,0,10,TRUE,3,0,-0.5,20230904-203442-33414093
MOZ,0,10,TRUE,3,0,1,20230904-203535-e7d4fa78
MOZ,0,10,TRUE,3,1.5,-3.5,20230904-203528-5ca013ac
MOZ,0,10,TRUE,3,1.5,-2,20230904-203512-62515b4c
MOZ,0,10,TRUE,3,1.5,-0.5,20230904-203605-f99a307a
MOZ,0,10,TRUE,3,1.5,1,20230904-203559-ab4e0078
MOZ,0,10,TRUE,3,3,-3.5,20230904-203541-aabfd21d
