cntry,rw_order,paed_age_cutoff,inc_time_tmc,logsigma_time_mmc,logsigma_agetime_mmc,logsigma_spacetime_mmc,ids
BDI,0,Inf,TRUE,-1.5,0,-3.5,NA
BDI,0,Inf,TRUE,-1.5,0,-2,NA
BDI,0,Inf,TRUE,-1.5,0,-0.5,NA
BDI,0,Inf,TRUE,-1.5,0,1,NA
BDI,0,Inf,TRUE,-1.5,1.5,-3.5,NA
BDI,0,Inf,TRUE,-1.5,1.5,-2,NA
BDI,0,Inf,TRUE,-1.5,1.5,-0.5,NA
BDI,0,Inf,TRUE,-1.5,1.5,1,NA
BDI,0,Inf,TRUE,-1.5,3,-3.5,NA
BDI,0,Inf,TRUE,-1.5,3,-2,NA
BDI,0,Inf,TRUE,-1.5,3,-0.5,NA
BDI,0,Inf,TRUE,-1.5,3,1,NA
BDI,0,Inf,TRUE,-1.5,4.5,-3.5,NA
BDI,0,Inf,TRUE,-1.5,4.5,-2,NA
BDI,0,Inf,TRUE,-1.5,4.5,-0.5,NA
BDI,0,Inf,TRUE,-1.5,4.5,1,NA
BDI,0,Inf,TRUE,0,0,-3.5,NA
BDI,0,Inf,TRUE,0,0,-2,NA
BDI,0,Inf,TRUE,0,0,-0.5,NA
BDI,0,Inf,TRUE,0,0,1,NA
BDI,0,Inf,TRUE,0,1.5,-3.5,NA
BDI,0,Inf,TRUE,0,1.5,-2,NA
BDI,0,Inf,TRUE,0,1.5,-0.5,NA
BDI,0,Inf,TRUE,0,1.5,1,NA
BDI,0,Inf,TRUE,0,3,-3.5,NA
BDI,0,Inf,TRUE,0,3,-2,NA
BDI,0,Inf,TRUE,0,3,-0.5,NA
BDI,0,Inf,TRUE,0,3,1,NA
BDI,0,Inf,TRUE,0,4.5,-3.5,NA
BDI,0,Inf,TRUE,0,4.5,-2,NA
BDI,0,Inf,TRUE,0,4.5,-0.5,NA
BDI,0,Inf,TRUE,0,4.5,1,NA
BDI,0,Inf,TRUE,1.5,0,-3.5,NA
BDI,0,Inf,TRUE,1.5,0,-2,NA
BDI,0,Inf,TRUE,1.5,0,-0.5,NA
BDI,0,Inf,TRUE,1.5,0,1,NA
BDI,0,Inf,TRUE,1.5,1.5,-3.5,NA
BDI,0,Inf,TRUE,1.5,1.5,-2,NA
BDI,0,Inf,TRUE,1.5,1.5,-0.5,NA
BDI,0,Inf,TRUE,1.5,1.5,1,NA
BDI,0,Inf,TRUE,1.5,3,-3.5,NA
BDI,0,Inf,TRUE,1.5,3,-2,NA
BDI,0,Inf,TRUE,1.5,3,-0.5,NA
BDI,0,Inf,TRUE,1.5,3,1,NA
BDI,0,Inf,TRUE,1.5,4.5,-3.5,NA
BDI,0,Inf,TRUE,1.5,4.5,-2,NA
BDI,0,Inf,TRUE,1.5,4.5,-0.5,NA
BDI,0,Inf,TRUE,1.5,4.5,1,NA
BDI,0,Inf,TRUE,3,0,-3.5,NA
BDI,0,Inf,TRUE,3,0,-2,NA
BDI,0,Inf,TRUE,3,0,-0.5,NA
BDI,0,Inf,TRUE,3,0,1,NA
BDI,0,Inf,TRUE,3,1.5,-3.5,NA
BDI,0,Inf,TRUE,3,1.5,-2,NA
BDI,0,Inf,TRUE,3,1.5,-0.5,NA
BDI,0,Inf,TRUE,3,1.5,1,NA
BDI,0,Inf,TRUE,3,3,-3.5,NA
BDI,0,Inf,TRUE,3,3,-2,NA
BDI,0,Inf,TRUE,3,3,-0.5,NA
BDI,0,Inf,TRUE,3,3,1,NA
BDI,0,Inf,TRUE,3,4.5,-3.5,NA
BDI,0,Inf,TRUE,3,4.5,-2,NA
BDI,0,Inf,TRUE,3,4.5,-0.5,NA
BDI,0,Inf,TRUE,3,4.5,1,NA
BEN,0,Inf,TRUE,-1.5,0,-3.5,20230812-221505-98595edf
BEN,0,Inf,TRUE,-1.5,0,-2,20230811-161055-7317c326
BEN,0,Inf,TRUE,-1.5,0,-0.5,20230812-221505-9c0861f7
BEN,0,Inf,TRUE,-1.5,0,1,20230812-221505-9d07b7a0
BEN,0,Inf,TRUE,-1.5,1.5,-3.5,20230811-161132-0d4b3f6d
BEN,0,Inf,TRUE,-1.5,1.5,-2,20230812-221532-72ff3f61
BEN,0,Inf,TRUE,-1.5,1.5,-0.5,20230811-161202-3c9d7855
BEN,0,Inf,TRUE,-1.5,1.5,1,20230812-221542-fcd44c3a
BEN,0,Inf,TRUE,-1.5,3,-3.5,20230812-221534-9d267c79
BEN,0,Inf,TRUE,-1.5,3,-2,20230813-210213-08795370
BEN,0,Inf,TRUE,-1.5,3,-0.5,20230813-210213-08791a8e
BEN,0,Inf,TRUE,-1.5,3,1,20230811-161221-759a860f
BEN,0,Inf,TRUE,-1.5,4.5,-3.5,20230813-210213-087a5324
BEN,0,Inf,TRUE,-1.5,4.5,-2,20230813-210247-0d014b93
BEN,0,Inf,TRUE,-1.5,4.5,-0.5,20230813-210246-f5e28bce
BEN,0,Inf,TRUE,-1.5,4.5,1,20230813-210250-528c6270
BEN,0,Inf,TRUE,0,0,-3.5,20230813-210322-7f77a6e0
BEN,0,Inf,TRUE,0,0,-2,20230813-210322-7d619915
BEN,0,Inf,TRUE,0,0,-0.5,20230814-103013-06395861
BEN,0,Inf,TRUE,0,0,1,NA
BEN,0,Inf,TRUE,0,1.5,-3.5,20230814-103013-31ce1983
BEN,0,Inf,TRUE,0,1.5,-2,20230811-161429-a7f6f571
BEN,0,Inf,TRUE,0,1.5,-0.5,20230814-103125-dfbdd41b
BEN,0,Inf,TRUE,0,1.5,1,20230813-210436-f7e40401
BEN,0,Inf,TRUE,0,3,-3.5,20230814-103125-9eec04c2
BEN,0,Inf,TRUE,0,3,-2,20230814-103125-aeccf622
BEN,0,Inf,TRUE,0,3,-0.5,20230814-103234-a3e4a65d
BEN,0,Inf,TRUE,0,3,1,20230814-103235-04fe41ad
BEN,0,Inf,TRUE,0,4.5,-3.5,20230814-103238-0b63c7f8
BEN,0,Inf,TRUE,0,4.5,-2,20230813-210539-43035b61
BEN,0,Inf,TRUE,0,4.5,-0.5,NA
BEN,0,Inf,TRUE,0,4.5,1,20230814-103353-54b73328
BEN,0,Inf,TRUE,1.5,0,-3.5,20230811-161549-f8407d2b
BEN,0,Inf,TRUE,1.5,0,-2,20230814-103353-36bfe04e
BEN,0,Inf,TRUE,1.5,0,-0.5,20230814-103437-bcf947df
